Children	Publisher Name
TIDELAND MUSIC PUBLISHING CORPORATION	OTHER
MICRO HARD PARTNERSHIP	OTHER
SONGFEST MUSIC CORP.	OTHER
SOROKA MUSIC LTD.	OTHER
MIRALESTE MUSIC	OTHER
HISAKO SONGS	OTHER
STABRY MUSIC	OTHER
PENTAGON LIPSERVICES NERR	OTHER
JAYBOY MUSIC CORPORATION	OTHER
HOLLIS MUSIC INC	OTHER
PANTHER MUSIC CORP	OTHER
THE ADMINISTRATION MP INC	OTHER
FROM THE GUT MUSIC	OTHER
ARTISTS RIGHTS ENFORCEMENT	OTHER
PAMAKU MUSIC	OTHER
THE BEST MUSIC WORKS	OTHER
GARNANT MUSIC	OTHER
TOKECO TUNES LLC	OTHER
DAVLO MUSIC	OTHER
E-BALASTIN MUSIC	OTHER
KIMA'S WORLD PUBLISHING	OTHER
CHESON MUSIC	OTHER
BRUCE CONTE D/B/A ZAMBEZI MUSIC	OTHER
BOB-A-LEW SONGS	OTHER
PURPLE RABBIT MUSIC	OTHER
FRED BOCK MUSIC CO.,INC.	OTHER
SONGTRUST STREET	OTHER
HILLCREST MUSIC CORP.	OTHER
HARLEM WEST MUSIC GROUP	OTHER
UNCLE PETE MUSIC	OTHER
JEDDRAH MUSIC	OTHER
LEE MENDELSON FILM PROD INC	OTHER
SEASON OF MIST PUBLISHING FRANCE	OTHER
HENSTONE MUSIC	OTHER
MUSICWORKS INTERNATIONAL	OTHER
JACO PASTORIUS INC	OTHER
E.O. SMITH MUSIC	OTHER
FIE!	OTHER
JASON CROPPER	OTHER
EAR BOOKER MUSIC	OTHER
CAROLINTONE MUSIC COMPANY INC	OTHER
TREYBALL MUSIC	OTHER
ASSOCIATED MUSIC PUBLISHERS, INC.	OTHER
23RD STREET PUBLISHING INC	OTHER
TUNECORE PUBLISHING	OTHER
MICROHITS MUSIC CORPORATION	OTHER
ANGELIKA MUSIC	OTHER
S.A. MUSIC	OTHER
HOPE PUBLISHING COMPANY	OTHER
DAVID PLATZ MUSIC (USA) INC.	OTHER
GREENWOOD MUSIC COMPANY	OTHER
WESTRAX MUSIC PUBLISHING	OTHER
KRYSTA YOUNGS PUB DESIGNEE	OTHER
30318 MUSIC PUB	OTHER
HNTRSS SONGS	OTHER
GENE AUTRY'S WESTERN MUSIC	OTHER
WORDS AND MUSIC INC	OTHER
EXTRAORDINAIRE MUSIC LLC	OTHER
MURBO MUSIC PUBLISHING INC.	OTHER
SIS 'N BRO MUSIC COMPANY	OTHER
TEO PRODUCTIONS, INC.	OTHER
MUSIC COPYRIGHT CONSULTANT GRP	OTHER
AUDIO NETWORK U S INC	OTHER
CAPANO MUSIC	OTHER
ROBERT W. CINQUE, ESQ.	OTHER
DANIEL WALDSTEIN	OTHER
MYERS MUSIC INC	OTHER
MUSIC BY HEAVEN PUBLISHING	OTHER
CANZION GROUP LP	OTHER
COVERTLY CANADIAN PUBLISHING	OTHER
SADAIC LATIN COPYRIGHTS OBO SACVEN VENEZUELA	OTHER
TEMPO PRESS	OTHER
ALMITRA MUSIC CO., INC.	OTHER
