id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
319941,coach-stream,Behind The Scenes Of A TV Show Gig,,Rudiments,,,,,,,
319942,coach-stream,Domino's Top 10 Pop Songs for 2021!,,,,,,,,,Gigging Tips & Gear
319988,quick-tips,Emmanuelle's 5 Drumming Influences,,,,,,,,,
319990,performances,"Chris Fischer - ""Ivory Tower""",,Rudiments,Hand Technique,,,,,,
320064,coach-stream,Rudiments En Clave,,Rudiments,,,,Grooves,Fills & Chops,,
320140,coach-stream,5 Levels Of Drumming,,,,,,,,,Other
320141,coach-stream,Can You Make Electronic Drums Sound Like Acoustics?,,,,,,,,,Other
320142,coach-stream,The Wheel Of Groove - Ultimate Creativity Challenge,,,,,,,,,
320143,coach-stream,Kaz Writes A Christmas Drum Jam,,,,,,,,,Performance
320144,coach-stream,Kaz Plays The Christmas Jam,,,,,,,,,
320145,coach-stream,Writing Music To Drum Tracks,,,,,,,,,
320146,coach-stream,Holiday Q&A,,,,,,,,,Other
320459,performances,"Shawn Mendes - ""In My Blood""",,,,,,Fills & Chops,,,
320838,student-collaborations,#102 - Air,,,,,,,,,Performance
321074,coach-stream,Choosing Cymbals: How To Find Your Perfect Fit,,Foot Technique,Timing,,,Independence,,,
321075,coach-stream,Breaking Cymbals?! Save Yourself With Safer Bashing Techniques!,,,,,,,,,
321076,coach-stream,How To Play Your Toms – FAST!,,,,,,,,,
321077,coach-stream,Schack's Q&A Helps To Keep The Drumming Doctor Away!,,,,,,,,,Other
321078,coach-stream,Playing An Arena Show,,Foot Technique,,,,Double Bass,,,Gigging Tips & Gear
321079,coach-stream,"Ableton & E-Drums / Part 1 : How To ""MIDI"" Connect Your Drums To Ableton",Jazz/Blues,,,,,,,,Performance
321080,coach-stream,Ableton & E-Drums / Part 2 : How To Let Ableton Trigger Your E-Drums,,Setup & Tuning,,,,,,,Other
321081,coach-stream,The Best SHOES For Drumming,,,,,,,,,Gigging Tips & Gear
321082,coach-stream,Q&A With Schack,,,,,,,,Other,Gigging Tips & Gear
321083,coach-stream,Merry Drumming & Happy New Beats 2022!,,,,,,,,,Other
321425,performances,"World's Longest Fill - ""Wipeout"" Edition",,,,,,,,,
321437,quick-tips,Drumeo's (No) Drum Solo Contest Announcement,,,,Ear Training,,Making Music,,,Gigging Tips & Gear
321767,quick-tips,The Genius Of Neil Peart,,,,,,,,,
321768,performances,"Imonolith - ""Becoming The Enemy""",Hip-Hop/Rap/EDM,,,,,Grooves,Fills & Chops,,Gigging Tips & Gear
321769,performances,"Chris Fischer - ""Dharma Express""",,,,,,,,,Performance
322300,coach-stream,Interview With Ra Diaz (Suicidal Tendencies/KoRn),,Rudiments,,,,,,,
322301,coach-stream,Tour Life Behind The Scenes Part 1,,Rudiments,,,,,,,
322302,coach-stream,Aric's 5 Favourite Drum Songs,,Rudiments,,,,,,,
322315,coach-stream,The Todd Sucherman Show #39 - Songs In 5,,,,,,Making Music,,,Gigging Tips & Gear
322334,coach-stream,Q&A With Matt,,,,,,,,,Performance
322929,coach-stream,The Todd Sucherman Show #40 - The Mission Live In Las Vegas,,Dynamics,Rudiments,,,,,,
322930,coach-stream,The Todd Sucherman Show #41 - Songs In 7,,,,,,Fills & Chops,,,
322931,coach-stream,The Todd Sucherman Show #42 - London Palladium Live Part 1,Jazz/Blues,,,Notation,,Grooves,,,
322932,coach-stream,The Todd Sucherman Show #43 - London Palladium Live Part 2,,,,,,,,,
322933,coach-stream,The Todd Sucherman Show #44 - Listening Party,,,,,,,,,
322934,coach-stream,The Todd Sucherman Show #45 - Thoughts & Quick Tips!,,,,,,,,,
322935,coach-stream,The Todd Sucherman Show #46 - Lucky 13,,,,,,,,,
322936,coach-stream,The Todd Sucherman Show #47 - Double Bass? Why Not?,,Hand Technique,Rudiments,,,,,,
322938,coach-stream,"The Todd Sucherman Show #48 - Last Call, Wonderland, & What Now?",,Rudiments,,,,,,,
323050,quick-tips,The Fundamentals Of Matched Grip,Hard Rock/Metal,,,,,Grooves,Fills & Chops,,
